,Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
0,09/07/2018,40,23,20.4,96,0.6,1137,19.7,0.0,1.0,0.0,Summer,No Holiday,Yes
1,09/09/2018,1051,11,24.4,41,1.3,1982,10.2,2.61,0.0,0.0,Autumn,No Holiday,Yes
2,16/11/2018,915,14,13.3,53,2.6,761,3.9,1.34,0.0,0.0,Autumn,No Holiday,Yes
3,13/07/2018,1046,13,28.9,68,2.8,1934,22.3,1.55,0.0,0.0,Summer,No Holiday,Yes
4,24/10/2018,811,10,13.0,63,0.9,854,6.1,1.5,0.0,0.0,Autumn,No Holiday,Yes
5,25/01/2018,349,8,-16.4,32,3.3,2000,-29.2,0.01,0.0,0.6,Winter,No Holiday,Yes
6,02/03/2018,71,2,-5.3,52,1.2,1434,-13.6,0.0,0.0,0.0,Spring,No Holiday,Yes
7,24/05/2018,778,0,13.7,51,1.3,1651,3.7,0.0,0.0,0.0,Spring,No Holiday,Yes
8,21/12/2017,58,4,-3.6,91,1.2,241,-4.8,0.0,0.0,2.2,Winter,No Holiday,Yes
9,14/10/2018,556,8,7.5,72,1.1,697,2.7,0.34,0.0,0.0,Autumn,No Holiday,Yes
10,28/11/2018,434,1,4.9,26,2.6,992,-13.0,0.0,0.0,0.0,Autumn,No Holiday,Yes
11,29/11/2018,726,22,,59,1.1,1218,-4.2,0.0,0.0,0.0,Autumn,No Holiday,Yes
12,05/03/2018,578,20,4.3,57,1.3,2000,-3.4,0.0,0.0,0.0,Spring,No Holiday,Yes
13,18/05/2018,864,23,13.2,68,1.8,2000,7.4,0.0,0.0,0.0,Spring,No Holiday,Yes
14,28/01/2018,157,18,-4.9,35,3.7,2000,-18.0,0.04,0.0,0.0,Winter,No Holiday,Yes
15,02/10/2018,0,21,16.2,65,1.5,2000,9.6,0.0,0.0,0.0,Autumn,No Holiday,No
16,30/10/2018,2074,18,8.4,52,2.6,2000,-0.9,0.03,0.0,0.0,Autumn,No Holiday,Yes
17,20/08/2018,992,15,32.9,45,1.9,1877,19.3,1.84,0.0,0.0,Summer,No Holiday,Yes
18,16/01/2018,332,20,4.5,58,0.8,383,-3.0,0.0,0.0,0.0,Winter,No Holiday,Yes
19,18/02/2018,226,21,0.2,32,1.1,1951,-14.5,0.0,0.0,0.0,Winter,No Holiday,Yes
20,23/03/2018,664,9,3.3,72,1.4,618,-1.2,0.61,0.0,0.0,Spring,No Holiday,Yes
21,17/03/2018,933,12,10.0,38,1.5,1677,-3.6,2.51,0.0,0.0,Spring,No Holiday,Yes
22,05/07/2018,438,6,23.5,80,0.3,768,19.8,0.0,0.0,0.0,Summer,No Holiday,Yes
23,05/04/2018,21,6,7.5,94,2.4,511,6.5,0.0,0.4,0.0,Spring,No Holiday,Yes
24,24/07/2018,2300,18,34.9,53,2.2,1296,23.8,0.86,0.0,0.0,Summer,No Holiday,Yes
25,27/04/2018,562,1,11.5,57,1.8,1471,3.2,0.0,0.0,0.0,Spring,No Holiday,Yes
26,07/06/2018,1171,15,29.3,41,2.0,609,14.6,2.63,0.0,0.0,Summer,No Holiday,Yes
27,08/10/2018,711,0,12.3,44,0.8,2000,0.3,0.0,0.0,0.0,Autumn,No Holiday,Yes
28,17/05/2018,54,5,18.8,97,0.9,1927,18.3,0.0,0.0,0.0,Spring,No Holiday,Yes
29,27/11/2018,600,14,11.6,70,1.5,388,6.3,0.45,0.0,0.0,Autumn,No Holiday,Yes
30,01/07/2018,60,6,,93,0.6,1262,21.1,0.01,0.4,0.0,Summer,No Holiday,Yes
31,30/09/2018,0,6,15.5,80,0.4,2000,12.0,0.0,0.0,0.0,Autumn,No Holiday,No
32,27/06/2018,1234,13,24.9,69,2.2,850,18.8,2.14,0.0,0.0,Summer,No Holiday,Yes
33,01/11/2018,1561,19,10.5,49,1.2,1965,0.2,0.0,0.0,0.0,Autumn,No Holiday,Yes
34,08/01/2018,144,20,1.0,89,1.9,407,-0.6,0.0,0.0,1.0,Winter,No Holiday,Yes
35,22/08/2018,782,1,24.6,79,0.6,1884,20.7,0.0,0.0,0.0,Summer,No Holiday,Yes
36,28/01/2018,67,3,-7.7,49,1.8,1573,-16.5,0.0,0.0,0.0,Winter,No Holiday,Yes
37,17/04/2018,421,1,9.0,36,1.0,1994,-5.3,0.0,0.0,0.0,Spring,No Holiday,Yes
38,25/08/2018,306,4,23.2,79,1.8,1941,19.3,0.0,0.0,0.0,Summer,No Holiday,Yes
39,14/09/2018,249,5,20.7,77,0.9,2000,16.5,0.0,0.0,0.0,Autumn,No Holiday,Yes
40,09/12/2017,569,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,Winter,No Holiday,Yes
41,04/11/2018,1690,16,18.4,25,3.2,1909,-2.0,1.05,0.0,0.0,Autumn,No Holiday,Yes
42,22/11/2018,271,2,1.3,44,1.9,2000,-9.6,0.0,0.0,0.0,Autumn,No Holiday,Yes
43,31/03/2018,1391,18,16.6,33,2.6,1867,0.2,0.48,0.0,0.0,Spring,No Holiday,Yes
44,19/04/2018,254,7,7.7,48,0.4,1110,-2.6,0.19,0.0,0.0,Spring,No Holiday,Yes
45,28/07/2018,1211,21,29.1,78,1.1,1362,24.8,0.0,0.0,0.0,Summer,No Holiday,Yes
46,19/08/2018,260,6,23.1,64,0.6,2000,15.9,0.0,0.0,0.0,Summer,No Holiday,Yes
47,08/06/2018,1283,9,21.2,62,1.7,1384,13.6,1.45,0.0,0.0,Summer,No Holiday,Yes
48,22/03/2018,600,7,0.6,85,1.5,1321,-1.6,0.01,0.0,0.0,Spring,No Holiday,Yes
49,09/07/2018,95,21,20.3,96,1.0,1007,19.6,0.0,1.5,0.0,Summer,No Holiday,Yes
50,22/01/2018,43,17,1.3,93,1.2,81,0.2,0.03,0.0,0.2,Winter,No Holiday,Yes
51,21/06/2018,1497,23,21.9,59,2.6,1188,13.5,0.0,0.0,0.0,Summer,No Holiday,Yes
52,01/09/2018,338,4,21.2,88,0.9,1183,19.1,0.0,0.0,0.0,Autumn,No Holiday,Yes
53,13/10/2018,853,9,10.0,56,1.0,1761,1.6,1.03,0.0,0.0,Autumn,No Holiday,Yes
54,25/08/2018,1231,13,28.6,54,2.9,1925,18.3,1.85,0.0,0.0,Summer,No Holiday,Yes
55,05/08/2018,712,15,33.7,55,3.7,1843,23.3,2.67,0.0,0.0,Summer,No Holiday,Yes
56,30/01/2018,94,16,-2.2,76,1.7,233,-5.8,0.25,0.0,0.0,Winter,No Holiday,Yes
57,26/06/2018,203,19,24.2,94,4.7,242,23.1,0.03,1.5,0.0,Summer,No Holiday,Yes
58,16/06/2018,583,7,17.0,60,1.1,1993,9.1,0.47,0.0,0.0,Summer,No Holiday,Yes
59,13/02/2018,146,1,-5.5,60,1.3,1994,-12.0,0.0,0.0,0.0,Winter,No Holiday,Yes
60,18/02/2018,440,15,5.0,16,2.0,1970,-18.8,1.42,0.0,0.0,Winter,No Holiday,Yes
61,20/07/2018,805,13,32.4,54,2.4,708,21.8,2.5,0.0,0.0,Summer,No Holiday,Yes
62,30/10/2018,394,6,0.8,69,1.4,2000,-4.2,0.0,0.0,0.0,Autumn,No Holiday,Yes
63,21/06/2018,539,2,20.2,82,0.9,575,17.0,0.0,0.0,0.0,Summer,No Holiday,Yes
64,15/06/2018,1726,16,26.5,45,1.6,2000,13.5,1.91,0.0,0.0,Summer,No Holiday,Yes
65,01/09/2018,1086,12,28.9,46,1.6,1966,16.1,2.96,0.0,0.0,Autumn,No Holiday,Yes
66,07/11/2018,608,11,12.4,82,0.6,507,9.4,0.34,0.0,0.0,Autumn,No Holiday,Yes
67,08/06/2018,365,3,18.6,83,2.9,889,15.6,0.0,0.0,0.0,Summer,No Holiday,Yes
68,03/02/2018,211,17,-5.6,32,4.6,2000,-19.7,0.53,0.0,0.0,Winter,No Holiday,Yes
69,24/05/2018,385,2,12.5,54,0.7,1500,3.4,0.0,0.0,0.0,Spring,No Holiday,Yes
70,23/08/2018,720,7,28.3,55,1.1,2000,18.3,0.03,0.0,0.0,Summer,No Holiday,Yes
71,31/07/2018,860,9,30.9,47,1.0,2000,18.2,1.62,0.0,0.0,Summer,No Holiday,Yes
72,24/11/2018,330,15,3.7,78,2.0,1314,0.2,0.81,0.0,4.1,Autumn,No Holiday,Yes
73,04/10/2018,0,6,13.2,73,1.1,1900,8.4,0.0,0.0,0.0,Autumn,No Holiday,No
74,10/09/2018,487,1,20.5,58,1.7,2000,11.9,0.0,0.0,0.0,Autumn,No Holiday,Yes
75,21/08/2018,2830,18,30.3,56,1.7,2000,20.5,0.8,0.0,0.0,Summer,No Holiday,Yes
